index,city,state,cases,date,fatalities,injured,total_victims,age_of_shooter,weapons_obtained_legally,latitude,longitude,year
86,Brookfield, Wisconsin,Living Church of God shooting,3/12/2005,7,4,11,44,Yes,43.0605671,-88.1064787,2005
0,Orange, California,Orange office complex shooting,3/31/21,4,1,5,Unknown,Unknown,33.83542,-117.85379,2021
1,Boulder, Colorado,Boulder supermarket shooting,3/22/21,10,0,10,21,Yes,39.986961,-105.251168,2021
2,Atlanta, Georgia,Atlanta massage parlor shootings,3/16/21,8,1,9,21,Unknown,34.111653,-84.580376,2021
3,Springfield, Missouri,Springfield convenience store shooting,3/16/20,4,0,4,31,Unknown,37.210432,-93.23686,2020
4,Milwaukee, Wisconsin,Molson Coors shooting,2/26/20,5,0,5,51,Unknown,43.044511,-87.962537,2020
30,Edgewood, Maryland,Edgewood businees park shooting,10/18/17,3,3,6,37,No,39.452189,-76.309988,2017
112,Killeen, Texas,Luby's massacre,10/16/1991,24,20,44,35,Yes,31.1171194,-97.7277959,1991
5,Jersey City, New Jersey,Jersey City kosher market shooting,12/10/19,4,3,7,Unknown,Unknown,40.707363,-74.083609,2019
6,Pensacola, Florida,Pensacola Naval base shooting,12/6/19,3,8,11,Unknown,Unknown,30.364707,-87.288567,2019
7,Odessa, Texas,Odessa-Midland shooting spree,8/31/19,7,25,32,36,Unknown,31.925974,-102.2796,2019
8,Dayton, Ohio,Dayton entertainment district shooting,8/4/19,9,27,36,24,Yes,39.757312,-84.184947,2019
9,El Paso, Texas,El Paso Walmart mass shooting,8/3/19,22,26,48,21,Yes,31.771068,-106.375655,2019
10,Gilroy, California,Gilroy garlic festival shooting,7/28/19,3,12,15,19,Yes,36.997191,-121.584819,2019
11,Virginia Beach, Virginia,Virginia Beach municipal building shooting,5/31/19,12,4,16,40,Yes,36.75442,-76.060378,2019
12,Aurora, Illinois,Harry Pratt Co. warehouse shooting,2/15/19,5,6,11,45,No,41.753725,-88.331057,2019
13,State College, Pennsylvania,Pennsylvania hotel bar shooting,1/24/19,3,1,4,21,Yes,40.785142,-77.839411,2019
59,Herkimer County, New York,Mohawk Valley shootings,3/13/2013,5,2,7,64,Yes,43.045601,-74.984891,2013
14,Sebring, Florida,SunTrust bank shooting,1/23/19,5,0,5,21,Yes,27.471043,-81.45847,2019
15,Chicago, Illinois,Mercy Hospital shooting,11/19/18,3,0,3,32,Unknown,41.847667,-87.622009,2018
68,Carson City, Nevada,IHOP shooting,9/6/2011,5,7,12,32,Yes,39.1637984,-119.7674034,2011
119,San Ysidro, California,San Ysidro McDonald's massacre,7/18/1984,22,19,41,41,Yes,32.5520013,-117.0430813,1984
16,Thousand Oaks, California,Thousand Oaks nightclub shooting,11/7/18,12,22,34,28,Yes,34.176946,-118.874793,2018
17,Pittsburgh, Pennsylvania,Tree of Life synagogue shooting,10/27/18,11,6,17,46,Yes,40.443898,-79.921398,2018
18,Perryman, Maryland,Rite Aid warehouse shooting,9/20/18,3,3,6,26,Yes,39.455658,-76.208485,2018
19,Bakersfield, California,T&T Trucking shooting,9/12/18,5,0,5,54,Yes,35.349388,-118.916335,2018
20,Cincinnati, Ohio,Fifth Third Center shooting,9/6/18,3,2,5,29,Yes,39.101981,-84.511782,2018
21,Annapolis, Maryland,Capital Gazette shooting,6/28/18,5,2,7,38,Yes,38.994548,-76.543657,2018
22,Santa Fe, Texas,Santa Fe High School shooting,5/18/18,10,13,23,17,TBD,29.392825,-95.141972,2018
23,Nashville, Tennessee,Waffle House shooting,4/22/18,4,4,8,29,Yes,36.052521,-86.616944,2018
24,Yountville, California,Yountville veterans home shooting,3/9/18,3,0,3,36,Yes,38.392496,-122.366528,2018
25,Parkland, Florida,Marjory Stoneman Douglas High School shooting,2/14/18,17,17,34,19,Yes,26.30483,-80.269511,2018
26,Melcroft, Pennsylvania,Pennsylvania carwash shooting,1/28/18,4,1,5,28,TBD,40.052151,-79.389166,2018
27,Rancho Tehama, California,Rancho Tehama shooting spree,11/14/17,5,10,15,44,No,40.018759,-122.393089,2017
28,Sutherland Springs, Texas,Texas First Baptist Church massacre,11/5/17,26,20,46,26,Kelley passed federal criminal background checks; the US Air Force failed to provide information on his criminal history to the FBI,29.273282,-98.056488,2017
70,Manchester, Connecticut,Hartford Beer Distributor shooting,8/3/2010,9,2,11,34,Yes,41.798764,-72.570068,2010
29,Thornton, Colorado,Walmart shooting in suburban Denver,11/1/17,3,0,3,47,TBD,39.876374,-104.986132,2017
31,Las Vegas, Nevada,Las Vegas Strip massacre,10/1/17,58,546,604,64,Yes,36.095739,-115.171544,2017
32,San Francisco, California,San Francisco UPS shooting,6/14/17,3,2,5,38,No,37.765947,-122.406087,2017
33,Tunkhannock, Pennsylvania,Pennsylvania supermarket shooting,6/7/17,3,0,3,24,TBD,41.529546,-75.94722,2017
34,Orlando, Florida,Florida awning manufacturer shooting,6/5/2017,5,0,5,45,TBD,28.580295,-81.294086,2017
35,Kirkersville, Ohio,Rural Ohio nursing home shooting,5/12/2017,3,0,3,43,TBD,39.959034,-82.596508,2017
36,Fresno, California,Fresno downtown shooting,4/18/2017,3,0,3,39,Unknown,36.746378,-119.800319,2017
37,Fort Lauderdale, Florida,Fort Lauderdale airport shooting,1/6/2017,5,6,11,26,Yes,26.072751,-80.143382,2017
38,Burlington, Washington,Cascade Mall shooting,9/23/2016,5,0,5,20,TBD,48.461367,-122.337918,2016
